,ISBN,bookTitle,bookAuthor,yearOfPublication,publisher,imageUrlS,imageUrlM,imageUrlL
2520,0446667900,A Darkness More Than Night,Michael Connelly,2002,Warner Vision,http://images.amazon.com/images/P/0446667900.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446667900.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446667900.01.LZZZZZZZ.jpg
2660,0670896764,A Day Late and a Dollar Short,Terry McMillan,2001,Viking Books,http://images.amazon.com/images/P/0670896764.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0670896764.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0670896764.01.LZZZZZZZ.jpg
2776,140003065X,A Fine Balance,Rohinton Mistry,2001,Vintage Books USA,http://images.amazon.com/images/P/140003065X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/140003065X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/140003065X.01.LZZZZZZZ.jpg
2945,0553278029,A Great Deliverance,Elizabeth George,1989,Bantam Books,http://images.amazon.com/images/P/0553278029.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553278029.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553278029.01.LZZZZZZZ.jpg
3044,0375725784,A Heartbreaking Work of Staggering Genius,Dave Eggers,2001,Vintage Books USA,http://images.amazon.com/images/P/0375725784.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375725784.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375725784.01.LZZZZZZZ.jpg
3346,0553279912,A Is for Alibi (Kinsey Millhone Mysteries (Paperback)),SUE GRAFTON,1987,Bantam,http://images.amazon.com/images/P/0553279912.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553279912.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553279912.01.LZZZZZZZ.jpg
3631,0375702709,A Lesson Before Dying (Vintage Contemporaries (Paperback)),Ernest J. Gaines,1997,Vintage Books USA,http://images.amazon.com/images/P/0375702709.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375702709.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375702709.01.LZZZZZZZ.jpg
3823,0452281903,A Man Named Dave: A Story of Triumph and Forgiveness,David J. Pelzer,2000,Plume Books,http://images.amazon.com/images/P/0452281903.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0452281903.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0452281903.01.LZZZZZZZ.jpg
3951,0553580930,A Man in Full,Tom Wolfe,1999,Bantam,http://images.amazon.com/images/P/0553580930.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553580930.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553580930.01.LZZZZZZZ.jpg
4125,0385720106,A Map of the World,Jane Hamilton,1999,Anchor Books/Doubleday,http://images.amazon.com/images/P/0385720106.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385720106.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385720106.01.LZZZZZZZ.jpg
4452,044023722X,A Painted House,John Grisham,2001,Dell Publishing Company,http://images.amazon.com/images/P/044023722X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/044023722X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/044023722X.01.LZZZZZZZ.jpg
5290,080411918X,A Patchwork Planet,ANNE TYLER,2001,Ballantine Books,http://images.amazon.com/images/P/080411918X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/080411918X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/080411918X.01.LZZZZZZZ.jpg
5439,0345361792,A Prayer for Owen Meany,John Irving,1990,Ballantine Books,http://images.amazon.com/images/P/0345361792.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345361792.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345361792.01.LZZZZZZZ.jpg
5852,0553571885,A Thin Dark Line (Mysteries &amp; Horror),TAMI HOAG,1998,Bantam,http://images.amazon.com/images/P/0553571885.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553571885.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553571885.01.LZZZZZZZ.jpg
5987,0449907481,A Thousand Acres (Ballantine Reader's Circle),JANE SMILEY,1992,Ballantine Books,http://images.amazon.com/images/P/0449907481.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449907481.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449907481.01.LZZZZZZZ.jpg
6197,0440211727,A Time to Kill,JOHN GRISHAM,1992,Dell,http://images.amazon.com/images/P/0440211727.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440211727.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440211727.01.LZZZZZZZ.jpg
6746,0375703063,A Virtuous Woman (Oprah's Book Club (Paperback)),Kaye Gibbons,1997,Vintage Books,http://images.amazon.com/images/P/0375703063.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375703063.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375703063.01.LZZZZZZZ.jpg
6910,0446525537,A Walk to Remember,Nicholas Sparks,1999,Warner Books,http://images.amazon.com/images/P/0446525537.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446525537.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446525537.01.LZZZZZZZ.jpg
7288,0345424719,A Widow for One Year,JOHN IRVING,1999,Ballantine Books,http://images.amazon.com/images/P/0345424719.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345424719.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345424719.01.LZZZZZZZ.jpg
7561,0440498058,A Wrinkle In Time,MADELEINE L'ENGLE,1998,Yearling,http://images.amazon.com/images/P/0440498058.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440498058.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440498058.01.LZZZZZZZ.jpg
7719,0374386137,A Wrinkle in Time,Madeleine L'Engle,1962,Farrar Straus Giroux,http://images.amazon.com/images/P/0374386137.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0374386137.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0374386137.01.LZZZZZZZ.jpg
7911,0679731148,A Year in Provence,Peter Mayle,1991,Vintage Books USA,http://images.amazon.com/images/P/0679731148.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679731148.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679731148.01.LZZZZZZZ.jpg
8061,0684874350,ANGELA'S ASHES,Frank McCourt,1996,Scribner,http://images.amazon.com/images/P/0684874350.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684874350.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684874350.01.LZZZZZZZ.jpg
8340,0590348086,Abduction,Rodman Philbrick,1998,Scholastic,http://images.amazon.com/images/P/0590348086.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0590348086.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0590348086.01.LZZZZZZZ.jpg
8444,0140293450,About a Boy,Nick Hornby,2000,Penguin Books Ltd,http://images.amazon.com/images/P/0140293450.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140293450.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140293450.01.LZZZZZZZ.jpg
8706,0446603589,Absolute Power,David Baldacci,1996,Warner Books,http://images.amazon.com/images/P/0446603589.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446603589.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446603589.01.LZZZZZZZ.jpg
8864,0425151867,Acceptable Risk,Robin Cook,1996,Berkley Publishing Group,http://images.amazon.com/images/P/0425151867.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425151867.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425151867.01.LZZZZZZZ.jpg
8985,0440217547,Accident,Danielle Steel,1995,Dell,http://images.amazon.com/images/P/0440217547.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440217547.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440217547.01.LZZZZZZZ.jpg
9111,0679446486,Airframe,Michael Crichton,1996,Alfred A. Knopf,http://images.amazon.com/images/P/0679446486.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679446486.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679446486.01.LZZZZZZZ.jpg
9443,0449217264,Alaska,James A. Michener,1994,Fawcett Books,http://images.amazon.com/images/P/0449217264.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449217264.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449217264.01.LZZZZZZZ.jpg
9544,0671793489,All Around the Town,Mary Higgins Clark,1993,Pocket Star,http://images.amazon.com/images/P/0671793489.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671793489.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671793489.01.LZZZZZZZ.jpg
9731,0312965788,All Creatures Great and Small,James Herriot,1998,St. Martin's Press,http://images.amazon.com/images/P/0312965788.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312965788.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312965788.01.LZZZZZZZ.jpg
9815,080410526X,All I Really Need to Know,ROBERT FULGHUM,1989,Ivy Books,http://images.amazon.com/images/P/080410526X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/080410526X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/080410526X.01.LZZZZZZZ.jpg
10073,0380718332,All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1993,Avon,http://images.amazon.com/images/P/0380718332.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380718332.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380718332.01.LZZZZZZZ.jpg
10257,0679744398,"All the Pretty Horses (The Border Trilogy, Vol 1)",CORMAC MCCARTHY,1993,Vintage,http://images.amazon.com/images/P/0679744398.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679744398.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679744398.01.LZZZZZZZ.jpg
10404,0446364193,Along Came a Spider (Alex Cross Novels),James Patterson,1993,Warner Books,http://images.amazon.com/images/P/0446364193.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446364193.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446364193.01.LZZZZZZZ.jpg
10708,0380789035,American Gods,Neil Gaiman,2002,HarperTorch,http://images.amazon.com/images/P/0380789035.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380789035.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380789035.01.LZZZZZZZ.jpg
11010,0553579983,And Then You Die,Iris Johansen,1998,Bantam,http://images.amazon.com/images/P/0553579983.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553579983.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553579983.01.LZZZZZZZ.jpg
11104,0684872153,Angela's Ashes (MMP) : A Memoir,Frank McCourt,1999,Scribner,http://images.amazon.com/images/P/0684872153.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684872153.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684872153.01.LZZZZZZZ.jpg
11430,068484267X,Angela's Ashes: A Memoir,Frank McCourt,1999,Scribner,http://images.amazon.com/images/P/068484267X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/068484267X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/068484267X.01.LZZZZZZZ.jpg
11652,0785380566,Angels,June Easton,2003,New Seasons,http://images.amazon.com/images/P/0785380566.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0785380566.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0785380566.01.LZZZZZZZ.jpg
11822,0743486226,Angels &amp; Demons,Dan Brown,2003,Atria,http://images.amazon.com/images/P/0743486226.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743486226.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743486226.01.LZZZZZZZ.jpg
12492,0064472272,"Angus, Thongs and Full-Frontal Snogging: Confessions of Georgia Nicolson",Louise Rennison,2001,HarperTempest,http://images.amazon.com/images/P/0064472272.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0064472272.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0064472272.01.LZZZZZZZ.jpg
12610,0060921145,Animal Dreams,Barbara Kingsolver,1991,Perennial,http://images.amazon.com/images/P/0060921145.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060921145.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060921145.01.LZZZZZZZ.jpg
12777,0451522303,Animal Farm,George Orwell,1956,Signet Book,http://images.amazon.com/images/P/0451522303.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451522303.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451522303.01.LZZZZZZZ.jpg
13010,0553296981,Anne Frank: The Diary of a Young Girl,ANNE FRANK,1993,Bantam,http://images.amazon.com/images/P/0553296981.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553296981.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553296981.01.LZZZZZZZ.jpg
13152,0553213148,Anne of Avonlea (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1984,Bantam Classics,http://images.amazon.com/images/P/0553213148.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553213148.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553213148.01.LZZZZZZZ.jpg
13263,055321313X,Anne of Green Gables (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1982,Bantam Classics,http://images.amazon.com/images/P/055321313X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/055321313X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/055321313X.01.LZZZZZZZ.jpg
13423,0770421083,Anne of the Island,Ian Montgomery,1983,Bantam Books,http://images.amazon.com/images/P/0770421083.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0770421083.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0770421083.01.LZZZZZZZ.jpg
13513,0786817070,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2002,Miramax Kids,http://images.amazon.com/images/P/0786817070.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0786817070.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0786817070.01.LZZZZZZZ.jpg
13761,0553579606,Ashes to Ashes,TAMI HOAG,2000,Bantam,http://images.amazon.com/images/P/0553579606.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553579606.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553579606.01.LZZZZZZZ.jpg
13981,014025448X,At Home in Mitford (The Mitford Years),Jan Karon,1996,Viking Books,http://images.amazon.com/images/P/014025448X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/014025448X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/014025448X.01.LZZZZZZZ.jpg
14211,038572179x,Atonement : A Novel,IAN MCEWAN,2003,Anchor,http://images.amazon.com/images/P/038572179X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/038572179X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/038572179X.01.LZZZZZZZ.jpg
14392,0553280341,B Is for Burglar (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1986,Bantam,http://images.amazon.com/images/P/0553280341.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553280341.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553280341.01.LZZZZZZZ.jpg
14639,0670894184,Back Roads,Tawni O'Dell,2000,Viking Books,http://images.amazon.com/images/P/0670894184.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0670894184.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0670894184.01.LZZZZZZZ.jpg
14915,067102423X,Bag of Bones,Stephen King,1999,Pocket,http://images.amazon.com/images/P/067102423X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/067102423X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/067102423X.01.LZZZZZZZ.jpg
15110,0385722206,Balzac and the Little Chinese Seamstress : A Novel,DAI SIJIE,2002,Anchor,http://images.amazon.com/images/P/0385722206.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385722206.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385722206.01.LZZZZZZZ.jpg
15394,0452269571,Bastard Out of Carolina,Dorothy Allison,1993,Plume Books,http://images.amazon.com/images/P/0452269571.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0452269571.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0452269571.01.LZZZZZZZ.jpg
15561,1551668998,Beach House,Mary Alice Monroe,2002,Mira,http://images.amazon.com/images/P/1551668998.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1551668998.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1551668998.01.LZZZZZZZ.jpg
15687,0553574574,Beach Music,Pat Conroy,1996,Bantam Books,http://images.amazon.com/images/P/0553574574.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553574574.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553574574.01.LZZZZZZZ.jpg
15916,0671004573,Before I Say Good-Bye,Mary Higgins Clark,2001,Pocket,http://images.amazon.com/images/P/0671004573.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671004573.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671004573.01.LZZZZZZZ.jpg
16094,0060934417,Bel Canto: A Novel,Ann Patchett,2002,Perennial,http://images.amazon.com/images/P/0060934417.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060934417.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060934417.01.LZZZZZZZ.jpg
16444,0451161394,Beloved,Toni Morrison,1991,New Amer Library,http://images.amazon.com/images/P/0451161394.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451161394.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451161394.01.LZZZZZZZ.jpg
16635,0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,Plume,http://images.amazon.com/images/P/0452264464.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0452264464.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0452264464.01.LZZZZZZZ.jpg
16815,0425178579,Betrayal in Death,Nora Roberts,2001,Berkley Publishing Group,http://images.amazon.com/images/P/0425178579.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425178579.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425178579.01.LZZZZZZZ.jpg
16904,0345445848,Big Cherry Holler: A Big Stone Gap Novel (Ballantine Reader's Circle),Adriana Trigiani,2002,Ballantine Books,http://images.amazon.com/images/P/0345445848.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345445848.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345445848.01.LZZZZZZZ.jpg
17006,0345438329,Big Stone Gap: A Novel (Ballantine Reader's Circle),Adriana Trigiani,2001,Ballantine Books,http://images.amazon.com/images/P/0345438329.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345438329.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345438329.01.LZZZZZZZ.jpg
17188,0399145672,Big Trouble,Dave Barry,1999,Putnam Publishing Group,http://images.amazon.com/images/P/0399145672.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399145672.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399145672.01.LZZZZZZZ.jpg
17410,0345413865,Billy Straight : A Novel,JONATHAN KELLERMAN,1999,Ballantine Books,http://images.amazon.com/images/P/0345413865.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345413865.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345413865.01.LZZZZZZZ.jpg
17505,0515137111,Birthright,Nora Roberts,2004,Jove Books,http://images.amazon.com/images/P/0515137111.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515137111.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515137111.01.LZZZZZZZ.jpg
17633,0440224845,Bittersweet,DANIELLE STEEL,2000,Dell,http://images.amazon.com/images/P/0440224845.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440224845.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440224845.01.LZZZZZZZ.jpg
17739,0345441036,Black House,Stephen King,2002,Ballantine Books,http://images.amazon.com/images/P/0345441036.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345441036.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345441036.01.LZZZZZZZ.jpg
17946,0425175405,Black Notice,Patricia Daniels Cornwell,2000,Berkley Publishing Group,http://images.amazon.com/images/P/0425175405.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425175405.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425175405.01.LZZZZZZZ.jpg
18306,0440226104,Black and Blue,ANNA QUINDLEN,1999,Dell,http://images.amazon.com/images/P/0440226104.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440226104.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440226104.01.LZZZZZZZ.jpg
18569,0385511612,Bleachers,John Grisham,2003,Doubleday,http://images.amazon.com/images/P/0385511612.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385511612.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385511612.01.LZZZZZZZ.jpg
18758,0375502238,Blessings,ANNA QUINDLEN,2002,Random House,http://images.amazon.com/images/P/0375502238.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375502238.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375502238.01.LZZZZZZZ.jpg
18959,0446602620,Blood Work,Michael Connelly,1998,Warner Books,http://images.amazon.com/images/P/0446602620.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446602620.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446602620.01.LZZZZZZZ.jpg
19087,0399148027,Blue Diary,Alice Hoffman,2001,G. P. Putnam's Sons,http://images.amazon.com/images/P/0399148027.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399148027.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399148027.01.LZZZZZZZ.jpg
19224,0380717018,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1992,Avon,http://images.amazon.com/images/P/0380717018.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380717018.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380717018.01.LZZZZZZZ.jpg
19359,0553582143,Body of Lies,IRIS JOHANSEN,2003,Bantam,http://images.amazon.com/images/P/0553582143.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553582143.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553582143.01.LZZZZZZZ.jpg
19524,0060929871,Brave New World,Aldous Huxley,1998,Perennial,http://images.amazon.com/images/P/0060929871.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060929871.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060929871.01.LZZZZZZZ.jpg
19750,037570504X,"Breath, Eyes, Memory",Edwidge Danticat,1998,Vintage Books USA,http://images.amazon.com/images/P/037570504X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/037570504X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/037570504X.01.LZZZZZZZ.jpg
19905,0394572343,Breathing Lessons,Anne Tyler,1988,Random House Inc,http://images.amazon.com/images/P/0394572343.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0394572343.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0394572343.01.LZZZZZZZ.jpg
20144,0064401847,Bridge to Terabithia,Katherine Paterson,1987,HarperTrophy,http://images.amazon.com/images/P/0064401847.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0064401847.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0064401847.01.LZZZZZZZ.jpg
20253,0670892963,Bridget Jones : The Edge of Reason,Helen Fielding,2000,Viking Books,http://images.amazon.com/images/P/0670892963.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0670892963.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0670892963.01.LZZZZZZZ.jpg
20384,0141000198,Bridget Jones's Diary,Helen Fielding,2001,Penguin Putnam,http://images.amazon.com/images/P/0141000198.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0141000198.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0141000198.01.LZZZZZZZ.jpg
